County,SqMiles
Adams,583.87
Allen,402.5
Ashland,422.95
Ashtabula,701.93
Athens,503.6
Auglaize,401.39
Belmont,532.13
Brown,490.02
Butler,467.06
Carroll,394.61
Champaign,428.67
Clark,397.47
Clermont,452.1
Clinton,408.68
Columbiana,531.89
Coshocton,563.91
Crawford,401.79
Cuyahoga,457.19
Darke,598.1
Defiance,411.46
Delaware,443.1
Erie,251.56
Fairfield,504.41
Fayette,406.36
Franklin,532.19
Fulton,405.44
Gallia,466.53
Geauga,400.16
Greene,413.73
Guernsey,522.25
Hamilton,405.91
Hancock,531.36
Hardin,470.41
Harrison,402.34
Henry,416.01
Highland,553.08
Hocking,421.32
Holmes,422.53
Huron,491.5
Jackson,420.3
Jefferson,408.33
Knox,525.49
Lake,227.49
Lawrence,453.37
Licking,682.5
Logan,458.43
Lorain,491.1
Lucas,340.86
Madison,465.88
Mahoning,411.62
Marion,403.76
Medina,421.36
Meigs,430.1
Mercer,462.45
Miami,406.58
Monroe,455.72
Montgomery,461.55
Morgan,416.42
Morrow,406.08
Muskingum,664.58
Noble,398.01
Ottawa,254.92
Paulding,416.44
Perry,407.97
Pickaway,501.32
Pike,440.28
Portage,487.38
Preble,424.12
Putnam,482.52
Richland,495.27
Ross,689.19
Sandusky,408.45
Scioto,610.21
Seneca,551.02
Shelby,407.68
Stark,575.27
Summit,412.75
Trumbull,618.3
Tuscarawas,567.64
Union,431.73
Van Wert,409.16
Vinton,412.36
Warren,401.31
Washington,631.97
Wayne,554.93
Williams,420.97
Wood,617.21
Wyandot,406.87
